,Sport,Date,Competition,Description
0,AmericanFootball,06-Jan 00:30,NCAA Division I FCS,Illinois State Redbirds @ Montana State Bobcats
1,Baseball,06-Jan 01:30,Mexico LMP,Naranjeros De Hermosillo @ Charros de Jalisco
2,Baseball,06-Jan 02:30,Mexico LMP,Tomateros De Culiacan @ Caneros De Los Mochis
3,Baseball,06-Jan 02:30,Mexico LMP,Jaguares de Nayarit @ Algodoneros De Guasave
4,Baseball,06-Jan 03:30,Mexico LMP,Yaquis de Cd Obregon @ Aguilas de Mexicali
5,Basketball,05-Jan 16:00,Serbia KLS,Radnicki Kragujevac v KK Dynamic
6,Basketball,05-Jan 16:00,Romania Divizia A,CSM Targu Mures v BCMU Pitesti
7,Basketball,05-Jan 16:00,Baltic Basketball League (W),MKK Panevezys Women v Klaipedos LCC Women
8,Basketball,05-Jan 16:30,Greece A2 Ethniki,AS Papagou v Vikos
9,Basketball,05-Jan 16:35,Israel Ligat Haal,Maccabi Ironi Raanana v Ironi Ramat Gan
10,Basketball,05-Jan 17:00,Latvia - Estonian Basketball League,Liepajas Lauvas v Latvijas Universitate
11,Basketball,05-Jan 17:00,Slovakia Extraliga,MBK Lucenec v Nitra Blue Wings
12,Basketball,05-Jan 17:00,Qatar Basketball League,Al Shamal v Al Gharafa
13,Basketball,05-Jan 17:00,Poland PBL,Anwil Wloclawek v Gornik Walbrzych
14,Basketball,05-Jan 17:00,Croatia A1 Liga,Zadar v Zabok
15,Basketball,05-Jan 17:00,Cyprus Division A,AEK Larnaca v Apoel BC
16,Basketball,05-Jan 17:00,Serbia KLS,Tamis v OKK Beograd
17,Basketball,05-Jan 17:00,Cyprus Division A,Anorthosis Famagusta v Enosis Neon Paralimniou BC
18,Basketball,05-Jan 17:15,Bulgaria NBL,Rilski Sportist v Balkan Botevgrad
19,Basketball,05-Jan 17:15,Turkey TBL,Bordo Sportif RS v Goztepe
20,Basketball,05-Jan 18:00,Romania Divizia A,Dinamo Bucuresti v CS Valcea
21,Basketball,05-Jan 18:00,France Coupe de France,Blois v Bourg-en-Bresse
22,Basketball,05-Jan 18:00,Adriatic League,KK Mega Basket v BC Zepter Vienna
23,Basketball,05-Jan 18:04,Sweden Ligan,Hogsbo v Koping Basket
24,Basketball,05-Jan 18:04,Sweden Ligan,Jamtland Basket v Umea BSKT
25,Basketball,05-Jan 18:30,Serbia KLS,Sloga v KK Cacak 94
26,Basketball,05-Jan 18:55,Israel Ligat Haal,Maccabi Ironi Ness Ziona v Elitzur Kiryat Ata
27,Basketball,05-Jan 19:00,Italy Lega 1 Basket,Reyer Venezia Mestre v De Longhi Treviso
28,Basketball,05-Jan 19:00,Germany BBL,Baskets Bonn v Brose Bamberg
29,Basketball,05-Jan 22:00,NCAA,Columbia Lions @ Cornell Big Red
30,Basketball,05-Jan 23:30,NCAA,Nebraska Cornhuskers @ Ohio State Buckeyes
31,Basketball,05-Jan 23:30,NCAA,Alabama St Hornets @ Arkansas Pine Bluff Golden Lions
32,Basketball,06-Jan 00:00,NCAA,Dartmouth Big Green @ Harvard Crimson
33,Basketball,06-Jan 00:00,NCAA,Oregon Ducks @ Rutgers Scarlet Knights
34,Basketball,06-Jan 00:00,NCAA,Wisconsin Milwaukee Panthers @ Wisconsin Green Bay Phoenix
35,Basketball,06-Jan 00:00,NCAA,Pennsylvania Quakers @ Princeton Tigers
36,Basketball,06-Jan 00:00,NCAA,Oregon Ducks @ Rutgers Scarlet Knights
37,Basketball,06-Jan 00:00,NCAA,Yale Bulldogs @ Brown Bears
38,Basketball,06-Jan 00:00,NCAA,William & Mary Tribe @ College of Charleston Cougars
39,Basketball,06-Jan 00:00,NCAA,Lamar Cardinals @ Southeastern Louisiana Lions
40,Basketball,06-Jan 00:00,NCAA,Prairie View A&M Panthers @ Southern University Jaguars
41,Basketball,06-Jan 00:05,US NBA,New York Knicks @ Detroit Pistons
42,Basketball,06-Jan 00:30,NCAA,Texas Southern Tigers @ Grambling State Tigers
43,Basketball,06-Jan 00:30,NCAA,Stephen Austin Lumberjacks @ Mcneese State Cowboys
44,Basketball,06-Jan 00:30,NCAA,Incarnate Word Cardinals @ UT Rio Grande Valley Vaqueros
45,Basketball,06-Jan 00:30,NCAA,Northwestern State Demons @ Nicholls State Colonels
46,Basketball,06-Jan 00:35,US NBA,Chicago Bulls @ Boston Celtics
47,Basketball,06-Jan 00:35,US NBA,Atlanta Hawks @ Toronto Raptors
48,Basketball,06-Jan 01:00,NCAA,Alabama A&M Bulldogs @ Mississippi Valley State Delta Devils
49,Basketball,06-Jan 01:00,NCAA,Texas A&M CC Islanders @ Houston Christian
50,Basketball,06-Jan 01:00,NCAA,East Texas A&M Lions @ New Orleans Privateers
51,Basketball,06-Jan 01:05,US NBA,Phoenix Suns @ Houston Rockets
52,Basketball,06-Jan 01:05,US NBA,Charlotte Hornets @ Oklahoma City Thunder
53,Basketball,06-Jan 01:30,NCAA,USC Trojans @ Michigan State Spartans
54,Basketball,06-Jan 01:35,US NBA,Denver Nuggets @ Philadelphia 76ers
55,Basketball,06-Jan 03:05,US NBA,Golden State Warriors @ Los Angeles Clippers
56,Basketball,06-Jan 03:05,US NBA,Utah Jazz @ Portland Trail Blazers
57,Basketball,06-Jan 08:00,Australia WNBL,Townsville Fire Women v Geelong United
58,Basketball,06-Jan 10:00,South Korea KBL,Mobis Phoebus v Busan KCC Egis
59,Basketball,06-Jan 11:35,China CBA,Guangzhou Long-Lions v Xinjiang Flying Tigers
60,Basketball,06-Jan 11:35,China CBA,Ningbo Rockets v Beijing Ducks
61,Basketball,06-Jan 11:35,China CBA,Nanjing Monkey Kings v Liaoning Flying Leopards
62,Basketball,06-Jan 11:35,China CBA,Fujian Sturgeons v Shandong Heroes
63,Basketball,06-Jan 11:35,China CBA,Jilin v Jiangsu Dragons
64,Basketball,06-Jan 11:35,China CBA,Shanxi Loongs v Sichuan Blue Whales
65,Basketball,06-Jan 11:35,China CBA,Tianjin Pioneers v Beijing Royal Fighters
66,Basketball,06-Jan 14:00,Poland PBL,MKS Start SA Lublin v King Wilki Morskie Szczecin
67,Basketball,06-Jan 14:00,Poland PBL,MKS Start SA Lublin v King Wilki Morskie Szczecin
68,Basketball,06-Jan 14:30,Turkey Cup Women,Botas Sports Women v CBK Mersin Yenisehir Women
69,Basketball,06-Jan 15:00,Poland BLK (W),Jelenia Gora Women v Sleza Wroclaw Women
70,Cricket,05-Jan 15:30,SA20,Pretoria Capitals v Sunrisers Eastern Cape
71,Cricket,05-Jan 17:00,Falcons Champions Trophy T20,Fire Dragons v Trinity CC
72,Cricket,05-Jan 23:00,WNCL,ACT Meteors v Victoria Women
73,Cricket,05-Jan 23:30,WNCL,Tasmania Tigers v Queensland Fire
74,Cricket,05-Jan 23:40,New Zealand T20 Super Smash,Auckland Aces v Otago Volts
75,Cricket,06-Jan 03:30,Vijay Hazare Trophy,Gujarat v Odisha
76,Cricket,06-Jan 03:30,Vijay Hazare Trophy,Bengal v Hyderabad
77,Cricket,06-Jan 03:30,Vijay Hazare Trophy,Kerala v Pondicherry
78,Cricket,06-Jan 03:30,S.S. Rajan Trophy,Ranipet v Madurai District
79,Cricket,06-Jan 03:30,Vijay Hazare Trophy,Saurashtra v Services
80,Cricket,06-Jan 03:50,Women's Super Smash,Auckland Hearts Women v Otago Sparks Women
81,Cricket,06-Jan 07:30,Zimbabwe Domestic Twenty20 Competition,Mountaineers v Mashonaland Eagles
82,Cricket,06-Jan 07:30,U19 International,Pakistan Under-19s v Zimbabwe Under-19s
83,Cricket,06-Jan 07:30,S.S. Rajan Trophy,Thoothukudi District v Coimbatore District
84,Cricket,06-Jan 08:15,Australia Twenty20 Big Bash,Adelaide Strikers v Sydney Thunder
85,Cricket,06-Jan 11:45,Zimbabwe Domestic Twenty20 Competition,Matabeleland Tuskers v Southern Rocks
86,Cricket,06-Jan 13:00,ICCA Arabian Cricket League Phase 1,Seven Districts v ZMI Holdings
87,Darts,06-Jan 09:35,Modus Super Series,Robert Thornton v Richard Rowlands
88,Darts,06-Jan 09:45,Modus Super Series,Steve West v Michael Huntley
89,Darts,06-Jan 09:55,Modus Super Series,Neil Duff v Richie Howson
90,Darts,06-Jan 10:05,Modus Super Series,Michael Huntley v Robert Thornton
91,Darts,06-Jan 10:15,Modus Super Series,Richard Rowlands v Richie Howson
92,Darts,06-Jan 10:25,Modus Super Series,Steve West v Neil Duff
93,Darts,06-Jan 10:35,Modus Super Series,Richie Howson v Michael Huntley
94,Darts,06-Jan 10:45,Modus Super Series,Robert Thornton v Steve West
95,Darts,06-Jan 10:55,Modus Super Series,Neil Duff v Richard Rowlands
96,Darts,06-Jan 11:05,Modus Super Series,Robert Thornton v Richie Howson
97,Darts,06-Jan 11:15,Modus Super Series,Michael Huntley v Neil Duff
98,Darts,06-Jan 11:25,Modus Super Series,Steve West v Richard Rowlands
99,Darts,06-Jan 11:35,Modus Super Series,Neil Duff v Robert Thornton
100,Darts,06-Jan 11:45,Modus Super Series,Richie Howson v Steve West
101,Darts,06-Jan 11:55,Modus Super Series,Richard Rowlands v Michael Huntley
102,Football,05-Jan 15:30,Iraq Stars League,Al Karma v Al Najaf
103,Football,05-Jan 15:30,Iraq Stars League,Al Zawraa (IRQ) v Al Gharraf
104,Football,05-Jan 16:00,Africa Cup Of Nations,Egypt v Benin
105,Football,05-Jan 16:00,Bahrain Second Division,Al Tadamun Buri v Busaiteen
106,Football,05-Jan 16:00,Mauritania Premier League,Nouakchott Academy v AS Pompier
107,Football,05-Jan 16:00,Bahrain Second Division,Qalali v Al Ittihad (BHR)
108,Football,05-Jan 16:00,Bahrain Second Division,Al-Ittifaq (BRN) v Al Hala
109,Football,05-Jan 16:00,Brazil Sao Paulo Youth Cup,EC Meia Noite U20 v Ponte Preta U20
110,Football,05-Jan 16:10,Saudi Arabia Crown Prince Cup,Burgan SC v Al Jahra
111,Football,05-Jan 16:30,Rwanda Premier League,Gasogi United v Al Merreikh
112,Football,05-Jan 16:45,Algeria Ligue 1,JS Kabilye v MB Rouisset
113,Football,05-Jan 17:00,Israel Liga Leumit,Kiryat Yam v Hapoel Nof Hagalil
114,Football,05-Jan 17:00,Israel Liga Leumit,Ironi Modiin v Hapoel Hadera
115,Football,05-Jan 17:00,Israel Liga Leumit,Hapoel Kfar Shalem v Bnei Yehuda Tel Aviv
116,Football,05-Jan 17:30,Turkey Supercup,Galatasaray v Trabzonspor
117,Football,05-Jan 17:30,Club Friendly,Erzgebirge Aue v Union Berlin
118,Football,05-Jan 18:00,Portugal Division 2,Benfica B v Porto B
119,Football,05-Jan 18:00,Egypt League Cup,National Bank of Egypt SC v Wadi Degla
120,Football,05-Jan 18:15,Brazil Sao Paulo Youth Cup,Associacao Esportiva Real U20 v Coritiba U20
121,Football,05-Jan 18:30,Israel Premier League,Maccabi Haifa v Hapoel Haifa
122,Football,05-Jan 19:00,Africa Cup Of Nations,Nigeria v Mozambique
123,Football,05-Jan 19:00,Algeria Ligue 1,MC Alger v CS Constantine
124,Football,05-Jan 19:00,Brazil Sao Paulo Youth Cup,Galvez U20 v Gremio Foot-Ball Porto Alegrense U20
125,Football,05-Jan 19:30,Italy Lega Pro Prima Divisione Girone C,ASD Altamura v Casertana
126,Football,05-Jan 19:30,Italy Lega Pro Prima Divisione Girone C,Nuova Cosenza Calcio v Monopoli
127,Football,05-Jan 19:30,Italy Lega Pro Prima Divisione Girone C,Benevento v Crotone
128,Football,05-Jan 19:30,Italy Lega Pro Prima Divisione Girone A,Triestina v ASD Alcione
129,Football,05-Jan 19:45,France Ligue 2,Montpellier HSC v USL Dunkerque
130,Football,05-Jan 19:45,England National League South,Chelmsford City v Slough Town
131,Football,05-Jan 20:00,England Championship,Leicester City v West Brom
132,Football,05-Jan 20:00,Jamaica Premier League,Tivoli Gardens FC v Portmore United FC
133,Football,05-Jan 20:00,Jamaica Premier League,Tivoli Gardens FC v Portmore United FC
134,Football,05-Jan 20:15,Portugal Division 2,Vizela v Torreense
135,Football,05-Jan 20:15,Brazil Sao Paulo Youth Cup,Remo PA U20 v Batalhao U20
136,Football,05-Jan 21:15,Brazil Sao Paulo Youth Cup,Votuporanguense U20 v Falcon U20
137,Football,05-Jan 21:30,Brazil Sao Paulo Youth Cup,Mirassol U20 v CA Linense U20
138,Football,05-Jan 22:15,Brazil Sao Paulo Youth Cup,Sfera U20 v Brasiliense U20
139,Football,05-Jan 22:30,Brazil Sao Paulo Youth Cup,Palmeiras U20 v Monte Roraima U20
140,Football,05-Jan 23:45,Brazil Sao Paulo Youth Cup,Forte FC U20 v Sport Recife U20
141,Football,06-Jan 00:00,Mexico Liga MX Femenil,Toluca Women v Club Tijuana Women
142,Football,06-Jan 00:00,Mexico Liga MX Femenil,Leon Women v Cruz Azul Women
143,Football,06-Jan 00:30,Jamaica Premier League,Cavalier v Arnett Gardens FC
144,Football,06-Jan 00:30,Brazil Sao Paulo Youth Cup,Fluminense FC U20 v Agua Santa U20
145,Football,06-Jan 02:06,Mexico Liga MX Femenil,Club Santos Laguna Women v Club America Mexico Women
146,Football,06-Jan 03:30,India Women's League,Sesa FA Women v Gokulam Kerala FC Women
147,Football,06-Jan 03:30,India Women's League,Garhwal United FC Women v Sreebhumi FC Women
148,Football,06-Jan 06:00,Vietnam U19 Championship,Hoai Duc FC U19 v Phu Dong Ninh Binh U19
149,Football,06-Jan 07:30,Vietnam U19 Championship,Ha Noi T&T U19 v Luxury Ha Long U19
150,Football,06-Jan 08:00,Vietnam U19 Championship,TDCS Dong Thap U19 v TP Ho Chi Minh FC U19
151,Football,06-Jan 08:00,Vietnam U19 Championship,Thua Thien Hue U19 v Be Tong 26 U19
152,Football,06-Jan 08:00,Vietnam U19 Championship,PVF U19 v Cong An Nhan Dan U19
153,Football,06-Jan 08:00,Vietnam U19 Championship,SHB Da Nang FC U19 v Quang Ngai U19
154,Football,06-Jan 08:00,Australia A-League,Melbourne City v Brisbane Roar
155,Football,06-Jan 09:00,Myanmar National League,Yangon United v Mahar Utd
156,Football,06-Jan 09:00,India Women's League,Kickstart FC Women v East Bengal FC Women
157,Football,06-Jan 09:00,India Women's League,Sethu Women v Nita FA Women
158,Football,06-Jan 09:30,Myanmar National League,Ayeyawady United v Thitsar Arman FC
159,Football,06-Jan 09:30,Myanmar National League,Shan United FC v Ispe
160,Football,06-Jan 11:00,Spain Tercera Division,CD Sonseca v Villarrubia
161,Football,06-Jan 11:00,Portugal Liga Revelacao U23,Academico Viseu U23 v Torreense U23
162,Football,06-Jan 11:30,AFC U23 Championship,Vietnam U23 v Jordan U23
163,Football,06-Jan 11:45,Brazil Sao Paulo Youth Cup,America SP U20 v Inter Limeira U20
164,Football,06-Jan 11:45,Brazil Sao Paulo Youth Cup,America SP U20 v Inter Limeira U20
165,Football,06-Jan 12:15,Israel Liga Alef North,Hapoel Tirat Karmel v Maccabi Nujeidat
166,Football,06-Jan 12:35,Saudi Arabia Division 1,Al-Jabalain (KSA) v Al-Faisaly (KSA)
167,Football,06-Jan 12:35,Saudi Arabia Division 1,Al-Bukayriyah (KSA) v Al Baten Club (KSA)
168,Football,06-Jan 12:55,Oman Elite League,Al Khaboora v Al Samail
169,Football,06-Jan 13:00,Greece Cup,Aris Thessaloniki v Panaitolikos
170,Football,06-Jan 13:00,Israel Liga Alef North,Hapoel Ironi Arraba v Hapoel Migdal Haemeq
171,Football,06-Jan 13:00,Uganda Premier League,Uganda Police v Kampala City
172,Football,06-Jan 13:00,Kenya Premier League,FC Kariobangi Sharks v Gor Mahia FC
173,Football,06-Jan 13:00,United Arab Emirates Premier,Al-Nasr (UAE) v Sharjah FC
174,Football,06-Jan 13:00,Uganda Premier League,Buhimba Saints United v Maroons
175,Football,06-Jan 13:30,Italy Serie D - Group G,ASD Monastir 1983 v Budoni Calcio
176,Football,06-Jan 13:30,England U21 Professional Development League,Millwall U21 v Swansea City U21
177,Football,06-Jan 13:30,Italy Eccellenza,US Corticella v US Fiorenzuola
178,Football,06-Jan 13:30,Italy Serie D - Group B,ASD Calcio Brusaporto v Sondrio Calcio
179,Football,06-Jan 13:30,Italy Eccellenza,Santarcangelo v Pietracuta ASD
180,Football,06-Jan 13:30,Italy Serie D - Group B,ASD Villa D'Alme Valbrembana v SSD Real Calepina FC
181,Football,06-Jan 13:30,Northern Ireland Cup,Comber Rec v Ballymena
182,Football,06-Jan 13:30,Italy Serie D - Group E,ASD Sporting Trestina v ASD San Donato Tavernelle
183,Football,06-Jan 13:30,Italy Eccellenza,ASD Polisportiva Codroipo v ASD Lavarian Mortean Esperia
184,Football,06-Jan 13:30,Italy Eccellenza,Calcio Zola Predosa v SSD Real Formigine
185,Football,06-Jan 13:30,Italy Eccellenza,ASD Salsomaggiore Calcio v ASD Nibbiano & Valtidone
186,Football,06-Jan 13:30,Italy Serie D - Group B,ASD Varesina CV v US Caratese
187,Football,06-Jan 13:40,Israel Liga Alef South,Maccabi Ashdod v Maccabi Kiryat Gat
188,Football,06-Jan 13:50,Israel Liga Alef North,Hapoel Um El-Phahem v Maccabi Neve Sha'anan Eldad FC
189,Football,06-Jan 14:00,Club Friendly,Red Bull Salzburg v Bayern Munich
190,Football,06-Jan 14:00,Italy Serie A,Pisa Sporting Club v Como
191,Football,06-Jan 14:00,Brazil Sao Paulo Youth Cup,CSA AL U20 v Bahia BA U20
192,Football,06-Jan 14:00,Club Friendly,FC Basel v Slavia Prague
193,Football,06-Jan 14:00,Italy Serie D - Group G,USD Latte Dolce v Muravera Calcio
194,Football,06-Jan 14:00,Club Friendly,Slavia Prague v FC Basel
195,Football,06-Jan 14:00,Club Friendly,Slavia Prague v FC Basel
196,Football,06-Jan 14:30,Qatari Stars League,Umm Salal SC (QAT) v Al Gharafa
197,Football,06-Jan 15:00,Egypt League Cup,ENPPI v Ceramica Cleopatra
198,Football,06-Jan 15:00,Egypt League Cup,El Gounah v Petrojet
199,Football,06-Jan 15:00,Portugal Liga Revelacao U23,UD Leiria U23 v Farense U23
200,Football,06-Jan 15:00,Portugal Liga Revelacao U23,Vizela U23 v Rio Ave FC U23
201,Football,06-Jan 15:00,Portugal Liga Revelacao U23,GD Estoril Praia U23 v Estrela Amadora U23
202,Football,06-Jan 15:00,Portugal Liga Revelacao U23,Leixoes SC U23 v Sporting Clube de Portugal U23
203,Football,06-Jan 15:00,Portugal Liga Revelacao U23,SL Benfica Lisbon U23 v Braga U23
204,Football,06-Jan 15:00,Portugal Liga Revelacao U23,Portimonense SC U23 v Gil Vicente U23
205,Football,06-Jan 15:20,Oman Elite League,Sohar v Al Nasr (Oman)
206,GreyhoundRacing,05-Jan 15:26,Sunderland,{2026-01-05T15:26:00.0000000Z} @ Sunderland
207,GreyhoundRacing,05-Jan 15:29,Doncaster,{2026-01-05T15:29:00.0000000Z} @ Doncaster
208,GreyhoundRacing,05-Jan 15:38,Monmore,{2026-01-05T15:38:00.0000000Z} @ Monmore
209,GreyhoundRacing,05-Jan 15:44,Sunderland,{2026-01-05T15:44:00.0000000Z} @ Sunderland
210,GreyhoundRacing,05-Jan 15:49,Doncaster,{2026-01-05T15:49:00.0000000Z} @ Doncaster
211,GreyhoundRacing,05-Jan 15:57,Monmore,{2026-01-05T15:57:00.0000000Z} @ Monmore
212,GreyhoundRacing,05-Jan 16:03,Sunderland,{2026-01-05T16:03:00.0000000Z} @ Sunderland
213,GreyhoundRacing,05-Jan 16:07,Doncaster,{2026-01-05T16:07:00.0000000Z} @ Doncaster
214,GreyhoundRacing,05-Jan 16:16,Monmore,{2026-01-05T16:16:00.0000000Z} @ Monmore
215,GreyhoundRacing,05-Jan 16:22,Sunderland,{2026-01-05T16:22:00.0000000Z} @ Sunderland
216,GreyhoundRacing,05-Jan 16:26,Doncaster,{2026-01-05T16:26:00.0000000Z} @ Doncaster
217,GreyhoundRacing,05-Jan 16:34,Monmore,{2026-01-05T16:34:00.0000000Z} @ Monmore
218,GreyhoundRacing,05-Jan 16:41,Sunderland,{2026-01-05T16:41:00.0000000Z} @ Sunderland
219,GreyhoundRacing,05-Jan 16:44,Doncaster,{2026-01-05T16:44:00.0000000Z} @ Doncaster
220,GreyhoundRacing,05-Jan 16:53,Monmore,{2026-01-05T16:53:00.0000000Z} @ Monmore
221,GreyhoundRacing,05-Jan 16:59,Sunderland,{2026-01-05T16:59:00.0000000Z} @ Sunderland
222,GreyhoundRacing,05-Jan 17:03,Doncaster,{2026-01-05T17:03:00.0000000Z} @ Doncaster
223,GreyhoundRacing,05-Jan 17:12,Monmore,{2026-01-05T17:12:00.0000000Z} @ Monmore
224,GreyhoundRacing,05-Jan 17:18,Sunderland,{2026-01-05T17:18:00.0000000Z} @ Sunderland
225,GreyhoundRacing,05-Jan 17:21,Doncaster,{2026-01-05T17:21:00.0000000Z} @ Doncaster
226,GreyhoundRacing,05-Jan 17:31,Monmore,{2026-01-05T17:31:00.0000000Z} @ Monmore
227,GreyhoundRacing,05-Jan 17:37,Sunderland,{2026-01-05T17:37:00.0000000Z} @ Sunderland
228,GreyhoundRacing,05-Jan 17:39,Doncaster,{2026-01-05T17:39:00.0000000Z} @ Doncaster
229,GreyhoundRacing,05-Jan 17:49,Monmore,{2026-01-05T17:49:00.0000000Z} @ Monmore
230,GreyhoundRacing,05-Jan 17:56,Sunderland,{2026-01-05T17:56:00.0000000Z} @ Sunderland
231,GreyhoundRacing,05-Jan 18:08,Kinsley,{2026-01-05T18:08:00.0000000Z} @ Kinsley
232,GreyhoundRacing,05-Jan 18:11,Harlow,{2026-01-05T18:11:00.0000000Z} @ Harlow
