,Sport,Date,Competition,Description
233,GreyhoundRacing,05-Jan 18:26,Kinsley,{2026-01-05T18:26:00.0000000Z} @ Kinsley
234,GreyhoundRacing,05-Jan 18:29,Harlow,{2026-01-05T18:29:00.0000000Z} @ Harlow
235,GreyhoundRacing,05-Jan 18:42,Kinsley,{2026-01-05T18:42:00.0000000Z} @ Kinsley
236,GreyhoundRacing,05-Jan 18:46,Harlow,{2026-01-05T18:46:00.0000000Z} @ Harlow
237,GreyhoundRacing,05-Jan 18:46,Harlow,{2026-01-05T18:46:00.0000000Z} @ Harlow
238,GreyhoundRacing,05-Jan 18:59,Kinsley,{2026-01-05T18:59:00.0000000Z} @ Kinsley
239,GreyhoundRacing,05-Jan 19:04,Harlow,{2026-01-05T19:04:00.0000000Z} @ Harlow
240,GreyhoundRacing,05-Jan 19:16,Kinsley,{2026-01-05T19:16:00.0000000Z} @ Kinsley
241,GreyhoundRacing,05-Jan 19:24,Harlow,{2026-01-05T19:24:00.0000000Z} @ Harlow
242,GreyhoundRacing,05-Jan 19:33,Kinsley,{2026-01-05T19:33:00.0000000Z} @ Kinsley
243,GreyhoundRacing,05-Jan 19:42,Harlow,{2026-01-05T19:42:00.0000000Z} @ Harlow
244,GreyhoundRacing,05-Jan 19:49,Kinsley,{2026-01-05T19:49:00.0000000Z} @ Kinsley
245,GreyhoundRacing,05-Jan 19:58,Harlow,{2026-01-05T19:58:00.0000000Z} @ Harlow
246,GreyhoundRacing,05-Jan 20:07,Kinsley,{2026-01-05T20:07:00.0000000Z} @ Kinsley
247,GreyhoundRacing,05-Jan 20:16,Harlow,{2026-01-05T20:16:00.0000000Z} @ Harlow
248,GreyhoundRacing,05-Jan 20:24,Kinsley,{2026-01-05T20:24:00.0000000Z} @ Kinsley
249,GreyhoundRacing,05-Jan 20:34,Harlow,{2026-01-05T20:34:00.0000000Z} @ Harlow
250,GreyhoundRacing,05-Jan 20:41,Kinsley,{2026-01-05T20:41:00.0000000Z} @ Kinsley
251,GreyhoundRacing,05-Jan 20:52,Harlow,{2026-01-05T20:52:00.0000000Z} @ Harlow
252,GreyhoundRacing,05-Jan 20:59,Kinsley,{2026-01-05T20:59:00.0000000Z} @ Kinsley
253,GreyhoundRacing,05-Jan 21:16,Kinsley,{2026-01-05T21:16:00.0000000Z} @ Kinsley
254,Handball,05-Jan 15:30,Romania Liga Nationala Women,CSM Targu Jiu Women v CSM Bucuresti Women
255,Handball,05-Jan 17:00,Hungary NB 1 Women,DVSC Schaeffler Women v Vaci NKSE Women
256,Handball,05-Jan 19:30,European Championship Men,Czech Republic v Norway
257,Handball,06-Jan 15:00,Sweden Allsvenskan (Women),Lugi HF Women v Skanela IF Women
258,HorseRacing,05-Jan 17:05,Philadelphia,{2026-01-05T17:05:00.0000000Z} 1m 70yds
259,HorseRacing,05-Jan 17:32,Philadelphia,{2026-01-05T17:32:00.0000000Z} 1m 70yds
260,HorseRacing,05-Jan 17:59,Philadelphia,{2026-01-05T17:59:00.0000000Z} 6f 110yds
261,HorseRacing,05-Jan 18:26,Philadelphia,{2026-01-05T18:26:00.0000000Z} 6f
262,HorseRacing,05-Jan 18:53,Philadelphia,{2026-01-05T18:53:00.0000000Z} 1m 70yds
263,HorseRacing,05-Jan 19:20,Philadelphia,{2026-01-05T19:20:00.0000000Z} 6f
264,HorseRacing,06-Jan 02:22,Townsville,{2026-01-06T02:22:00.0000000Z} 0m 7f 219y
265,HorseRacing,06-Jan 02:50,Port Macquarie,{2026-01-06T02:50:00.0000000Z} 0m 7f 100y
266,HorseRacing,06-Jan 02:57,Townsville,{2026-01-06T02:57:00.0000000Z} 0m 6f 211y
267,HorseRacing,06-Jan 03:25,Port Macquarie,{2026-01-06T03:25:00.0000000Z} 0m 5f 212y
268,HorseRacing,06-Jan 03:34,Townsville,{2026-01-06T03:34:00.0000000Z} 0m 6f 211y
269,HorseRacing,06-Jan 04:05,Port Macquarie,{2026-01-06T04:05:00.0000000Z} 0m 4f 213y
270,HorseRacing,06-Jan 04:12,Townsville,{2026-01-06T04:12:00.0000000Z} 0m 4f 213y
271,HorseRacing,06-Jan 04:40,Port Macquarie,{2026-01-06T04:40:00.0000000Z} 0m 7f 100y
272,HorseRacing,06-Jan 04:47,Townsville,{2026-01-06T04:47:00.0000000Z} 0m 4f 213y
273,HorseRacing,06-Jan 05:20,Port Macquarie,{2026-01-06T05:20:00.0000000Z} 0m 4f 213y
274,HorseRacing,06-Jan 05:27,Townsville,{2026-01-06T05:27:00.0000000Z} 0m 4f 213y
275,HorseRacing,06-Jan 05:55,Port Macquarie,{2026-01-06T05:55:00.0000000Z} 0m 7f 100y
276,HorseRacing,06-Jan 06:04,Townsville,{2026-01-06T06:04:00.0000000Z} 0m 5f 212y
277,HorseRacing,06-Jan 06:30,Port Macquarie,{2026-01-06T06:30:00.0000000Z} 0m 5f 212y
278,HorseRacing,06-Jan 13:45,Wolverhampton,{2026-01-06T13:45:00.0000000Z} 1m 0f 142y
279,HorseRacing,06-Jan 15:15,Wolverhampton,{2026-01-06T15:15:00.0000000Z} 0m 6f 20y
280,IceHockey,05-Jan 16:30,Finland SM-Liiga,KooKoo v SaiPa
281,IceHockey,05-Jan 16:30,Finland SM-Liiga,Mikkelin Jukurit v Lukko
282,IceHockey,05-Jan 16:30,Finland SM-Liiga,Tappara v HPK
283,IceHockey,05-Jan 16:30,Sweden Allsvenskan,Mora IK v MODO Hockey
284,IceHockey,05-Jan 16:30,Sweden Allsvenskan,VIK Vasteras HK v Sodertalje SK
285,IceHockey,05-Jan 16:30,Sweden Allsvenskan,IF Bjorkloven v IK Oskarshamn
286,IceHockey,05-Jan 16:30,Slovakia Extraliga,HC 05 Ban Bystrica v HK Nitra
287,IceHockey,05-Jan 17:00,Slovakia Extraliga,HKM Zvolen v Dukla Trencin
288,IceHockey,05-Jan 17:00,Slovakia Extraliga,HK SKP Poprad v HK Dukla Michalovce
289,IceHockey,05-Jan 17:00,Slovakia Extraliga,HC 21 Presov v Spisska Nova Ves
290,IceHockey,05-Jan 17:00,Slovakia Extraliga,Liptovsky Mikulas v HC Kosice
291,IceHockey,05-Jan 17:30,IIHF World Championship U20 Div II,Romania U20 v Croatia U20
292,IceHockey,05-Jan 17:30,Slovakia Extraliga,HC Slovan Bratislava v MsHK Zilina
293,IceHockey,05-Jan 18:15,Austria OEL,SAPA Fehervar AV19 v Moser Medical Graz 99ers
294,IceHockey,05-Jan 18:15,Austria OEL,UPC Vienna Capitals v Villach
295,IceHockey,05-Jan 18:15,Austria OEL,HDD Telemach Olimpija Ljubljana v Ferencvarosi TC
296,IceHockey,05-Jan 18:15,Austria OEL,Klagenfurt v Valpusteria
297,IceHockey,05-Jan 18:30,Austria OEL,BEMER Pioneers Vorarlberg v HC TWK Innsbruck
298,IceHockey,05-Jan 18:45,Austria OEL,HC Bolzano v EC Red Bull Salzburg
299,IceHockey,05-Jan 19:00,Sweden Allsvenskan,AIK IF Stockholm v BIK Karlskoga
300,IceHockey,05-Jan 19:00,Sweden Allsvenskan,Vimmerby HC v Kalmar HC
301,IceHockey,05-Jan 21:30,World Championship U20,Canada U20 v Finland U20
302,IceHockey,06-Jan 00:00,US ECHL,Greenville Swamp Rabbits @ Orlando Solar Bears
303,IceHockey,06-Jan 00:00,AHL,Charlotte Checkers @ Cleveland Monsters
304,IceHockey,06-Jan 00:05,US NHL,Anaheim Ducks @ Washington Capitals
305,IceHockey,06-Jan 00:05,US NHL,Utah Mammoth @ New York Rangers
306,IceHockey,06-Jan 00:35,US NHL,Detroit Red Wings @ Ottawa Senators
307,IceHockey,06-Jan 01:30,World Championship U20,Sweden U20 v Czechia U20
308,IceHockey,06-Jan 02:35,US NHL,Seattle Kraken @ Calgary Flames
309,IceHockey,06-Jan 03:35,US NHL,Minnesota Wild @ Los Angeles Kings
310,IceHockey,06-Jan 13:00,Germany DEL,SERC Wild Wings v Grizzly Adams Wolfsburg
311,IceHockey,06-Jan 13:00,Germany DEL,SERC Wild Wings v Grizzly Adams Wolfsburg
312,IceHockey,06-Jan 13:30,Kazakhstan Championship,Kazzinc Torpedo v HC Beybarys
313,IceHockey,06-Jan 14:00,Kazakhstan Championship,Saryarka Karagandy v Yertis Pavlodar
314,IceHockey,06-Jan 14:00,Kazakhstan Championship,HC Arlan v Gornyak Rudnyi
315,IceHockey,06-Jan 14:15,Sweden Hockey League,Linkopings HC v Frolunda HC
316,IceHockey,06-Jan 14:15,Sweden Hockey League,IF Malmo Redhawks v Farjestad BK
317,IceHockey,06-Jan 14:15,Sweden Hockey League,Timra IK v Orebro Hockeyklubb
318,IceHockey,06-Jan 15:00,Finland Mestis,Hermes v KeuPa
319,IceHockey,06-Jan 15:00,Finland Mestis,PYRY v IPK
320,IceHockey,06-Jan 15:00,Finland Mestis,Imatran Kettera v Jokerit
321,Snooker,05-Jan 16:30,Championship League Snooker,Chris Wakelin v Noppon Saengkham
322,Snooker,05-Jan 16:30,Championship League Snooker,David Gilbert v Jackson Page
323,Snooker,05-Jan 19:00,German Masters Qualifiers,Huang Jiahao v Jimmy White
324,Snooker,05-Jan 19:00,German Masters Qualifiers,Artemijs Zizins v Liu Wenwei
325,Snooker,05-Jan 19:00,German Masters Qualifiers,Marco Fu v Yichen Xu
326,Snooker,05-Jan 19:00,German Masters Qualifiers,Liam Highfield v Fergal Quinn
327,Snooker,05-Jan 19:00,German Masters Qualifiers,Farakh Ajaib v Yao Pengcheng
328,Snooker,05-Jan 19:00,German Masters Qualifiers,Chang Bingyu v Oliver Brown
329,Snooker,05-Jan 19:00,German Masters Qualifiers,Bulcsu Revesz v Reanne Evans
330,Snooker,05-Jan 19:00,German Masters Qualifiers,Louis Heathcote v Chatchapong Nasa
331,Tennis,05-Jan 15:30,Nottingham Challenger,Charles Broom v Harry Wendelken
332,Tennis,05-Jan 15:30,Nottingham Challenger,Adria Soriano Barrera v Paul Jubb
333,Tennis,05-Jan 22:30,Auckland,Maria Camila Osorio Serrano v Petra Marcinko
334,Tennis,05-Jan 22:30,Auckland,Katie Boulter v Yuliia Starodubtseva
335,Tennis,05-Jan 23:30,United Cup,Felix Auger Aliassime v Zizou Bergs
336,Tennis,05-Jan 23:30,Canberra Challenger,Roberto Carballes Baena v Colton Smith
337,Tennis,05-Jan 23:30,Canberra 125k,Joanna Garland v Diane Parry
338,Tennis,05-Jan 23:30,Canberra 125k,Daria Snigur v Tamara Korpatsch
339,Tennis,05-Jan 23:30,Canberra Challenger,Elmer Moller v Jaime Faria
340,Tennis,05-Jan 23:30,Canberra 125k,Polina Iatcenko v Destanee Aiava
341,Tennis,05-Jan 23:30,Canberra 125k,En Shuo Liang v Lucrezia Stefanini
342,Tennis,06-Jan 00:00,Noumea Challenger,Christian Langmo v Kosuke Ogura
343,Tennis,06-Jan 00:00,Noumea Challenger,Leo Vithoontien v James Watt
344,Tennis,06-Jan 00:00,Noumea Challenger,Andre Ilagan v Jake Delaney
345,Tennis,06-Jan 00:30,Auckland,Monique Barry v Ella Seidel
346,Tennis,06-Jan 00:30,Auckland,Sonay Kartal v Janice Tjen
347,Tennis,06-Jan 01:00,Brisbane,Denis Shapovalov v Raphael Collignon
348,Tennis,06-Jan 01:00,Brisbane,Brandon Nakashima v Alejandro Davidovich Fokina
349,Tennis,06-Jan 01:00,Brisbane,McCartney Kessler v Madison Keys
350,Tennis,06-Jan 01:30,Canberra Challenger,Marcelo Tomas Barrios-Vera v Philip Sekulic
351,Tennis,06-Jan 01:30,United Cup,Victoria Mboko v Elise Mertens
352,Tennis,06-Jan 01:30,Canberra Challenger,Nicolas Mejia v Justin Engel
353,Tennis,06-Jan 01:30,Canberra 125k,Alina Korneeva v Polina Kudermetova
354,Tennis,06-Jan 01:30,Canberra 125k,Lola Radivojevic v Teodora Kostovic
355,Tennis,06-Jan 01:30,Canberra Challenger,Daniel Elahi Galan v Lukas Neumayer
356,Tennis,06-Jan 01:30,Canberra 125k,Lucia Bronzetti v Tamara Zidansek
357,Tennis,06-Jan 02:00,United Cup,Flavio Cobolli v Arthur Rinderknech
358,Tennis,06-Jan 02:00,Noumea Challenger,Alex Barrena v Arthur Gea
359,Tennis,06-Jan 02:00,Noumea Challenger,Michael Zheng v Omar Jasika
360,Tennis,06-Jan 02:00,Nonthaburi Challenger,Rodrigo Pacheco Mendez v Robin Bertrand
361,Tennis,06-Jan 02:30,Auckland,Alycia Parks v Elisabetta Cocciaretto
362,Tennis,06-Jan 02:30,Auckland,Alycia Parks v Elisabetta Cocciaretto
363,Tennis,06-Jan 02:30,Auckland,Magda Linette v Venus Williams
364,Tennis,06-Jan 03:00,Brisbane,Diana Shnaider v Anastasia Potapova
365,Tennis,06-Jan 03:00,Brisbane,Giovanni Perricard v Tommy Paul
366,Tennis,06-Jan 03:00,Nonthaburi Challenger,Sergey Fomin v Renta Tokuda
367,Tennis,06-Jan 03:00,Nonthaburi Challenger,Pawit Sornlaksup v Tung-Lin Wu
368,Tennis,06-Jan 03:00,Brisbane,Aryna Sabalenka v Cristina Bucsa
369,Tennis,06-Jan 03:30,Canberra Challenger,Vit Kopriva v Kei Nishikori
370,Tennis,06-Jan 03:30,Canberra Challenger,Jack Pinnington Jones v Brandon Holt
371,Tennis,06-Jan 03:30,Canberra 125k,Mayar Sherif v Elena Micic
372,Tennis,06-Jan 03:30,Canberra 125k,Marina Stakusic v Darja Vidmanova
373,Tennis,06-Jan 03:30,Canberra Challenger,Murphy Cassone v Lukas Klein
374,Tennis,06-Jan 03:30,Canberra Challenger,Rafael Jodar v Nicolas Jarry
375,Tennis,06-Jan 04:00,United Cup,Jasmine Paolini v Lois Boisson
376,Tennis,06-Jan 04:30,Brisbane,Nick Kyrgios v Aleksandar Kovacevic
377,Tennis,06-Jan 05:00,Brisbane,Cameron Norrie v Ugo Humbert
378,Tennis,06-Jan 05:00,Noumea Challenger,Jordan Thompson v Emile Hudd
379,Tennis,06-Jan 05:00,Brisbane,Sofia Kenin v Ekaterina Alexandrova
380,Tennis,06-Jan 05:00,Nonthaburi Challenger,Yuta Shimizu v Taisei Ichikawa
381,Tennis,06-Jan 05:00,Nonthaburi Challenger,Koki Matsuda v Marat Sharipov
382,Tennis,06-Jan 05:00,Nonthaburi Challenger,Maximus Jones v Tibo Colson
383,Tennis,06-Jan 05:30,Noumea Challenger,Daniil Glinka v Bernard Tomic
384,Tennis,06-Jan 05:30,Auckland,Elina Svitolina v Varvara Gracheva
385,Tennis,06-Jan 05:30,Bengaluru Challenger,Cedrik-Marcel Stebe v Max Houkes
386,Tennis,06-Jan 05:30,Hong Kong,Alexandre Muller v Miomir Kecmanovic
387,Tennis,06-Jan 05:30,Hong Kong,Tomas Martin Etcheverry v Valentin Royer
388,Tennis,06-Jan 05:30,Hong Kong,Lorenzo Sonego v Rei Sakamoto
389,Tennis,06-Jan 05:30,Canberra 125k,Elvina Kalieva v Ekaterine Gorgodze
390,Tennis,06-Jan 05:30,Bengaluru Challenger,Borna Gojo v Karan Singh
391,Tennis,06-Jan 05:30,Bengaluru Challenger,Niels Visker v Eric Vanshelboim
392,Tennis,06-Jan 05:30,Canberra Challenger,Chris Rodesch v Luca Nardi
393,Tennis,06-Jan 05:30,Canberra Challenger,Chris Rodesch v Luca Nardi
394,Tennis,06-Jan 06:30,United Cup,Maya Joint v Barbora Krejcikova
395,Tennis,06-Jan 07:00,Brisbane,Karolina Muchova v Ajla Tomljanovic
396,Tennis,06-Jan 07:00,Brisbane,Sorana Cirstea v Jelena Ostapenko
397,Tennis,06-Jan 07:00,Nonthaburi Challenger,Hyeon Chung v Florent Bax
398,Tennis,06-Jan 07:00,Nonthaburi Challenger,Hayato Matsuoka v Fajing Sun
399,Tennis,06-Jan 07:00,Noumea Challenger,Nicolas Moreno De Alboran v Maxime Chazal
400,Tennis,06-Jan 07:00,Nonthaburi Challenger,Kasidit Samrej v Hikaru Shiraishi
401,Tennis,06-Jan 07:30,Canberra 125k,Tatiana Prozorova v Nikola Bartunkova
402,Tennis,06-Jan 07:30,Auckland,Donna Vekic v Alexandra Eala
403,Tennis,06-Jan 07:30,Bengaluru Challenger,Mitsuki Wei Kang Leong v Aziz Ouakaa
404,Tennis,06-Jan 07:30,Bengaluru Challenger,Aryan Shah v Beibit Zhukayev
405,Tennis,06-Jan 07:30,Bengaluru Challenger,Alexis Gautier v Michael Geerts
406,Tennis,06-Jan 07:30,Hong Kong,Chak Lam Coleman Wong v Mariano Navone
407,Tennis,06-Jan 07:30,Hong Kong,Jesper De Jong v Gabriel Diallo
408,Tennis,06-Jan 07:30,Hong Kong,Alejandro Tabilo v Michael Mmoh
409,Tennis,06-Jan 07:30,Canberra 125k,Tahlia Kokkinis v Himeno Sakatsume
410,Tennis,06-Jan 08:30,United Cup,Alex De Minaur v Jakub Mensik
411,Tennis,06-Jan 08:30,Brisbane,Grigor Dimitrov v Pablo Carreno-Busta
412,Tennis,06-Jan 09:00,Nonthaburi Challenger,Zdenek Kolar v Alex Hernandez
413,Tennis,06-Jan 09:00,Nonthaburi Challenger,Joel Schwaerzler v Hiroki Moriya
414,Tennis,06-Jan 09:00,Noumea Challenger,Facundo Diaz Acosta v Louis Dussin
415,Tennis,06-Jan 09:00,Brisbane,Rinky Hijikata v Adam Walton
416,Tennis,06-Jan 09:00,Brisbane,Marie Bouzkova v Paula Badosa Gibert
417,Tennis,06-Jan 09:30,Bengaluru Challenger,Benjamin Hassan v Felix Balshaw
418,Tennis,06-Jan 09:30,Bengaluru Challenger,Duje Ajdukovic v Dhakshineswar Suresh
419,Tennis,06-Jan 09:30,Hong Kong,Jan-Lennard Struff v Botic van de Zandschulp
420,Tennis,06-Jan 09:30,Hong Kong,Laslo Djere v Marcos Giron
421,Tennis,06-Jan 10:00,Nottingham Challenger,Robert Strombachs v Mathys Erhard
422,Tennis,06-Jan 10:00,Nottingham Challenger,Mika Brunold v Tom Gentzsch
423,Tennis,06-Jan 10:00,Nottingham Challenger,Dimitar Kuzmanov v Christoph Negritu
424,Tennis,06-Jan 10:00,Nottingham Challenger,Dimitar Kuzmanov v Christoph Negritu
425,Tennis,06-Jan 10:00,Hong Kong,Juncheng Shang v Francisco Comesana
426,Tennis,06-Jan 10:00,Brisbane,Elena Rybakina v Shuai Zhang
427,Tennis,06-Jan 10:00,Nottingham Challenger,Stefan Kozlov v Tyler Zink
428,Tennis,06-Jan 12:30,Bengaluru Challenger,Pedro Martinez Portero v Eero Vasa
429,TennisDoubles,05-Jan 15:30,United Cup,"Olivia Nicholls, Neal Skupski v Maria Sakkari, Stefanos Tsitsipas"
430,TennisDoubles,05-Jan 23:30,Auckland,"Xinyu Wang, Saisai Zheng v Hanyu Guo, Kristina Mladenovic"
431,TennisDoubles,06-Jan 01:00,Hong Kong,"Tomislav Brkic, Damir Dzumhur v Robin Haase, Constantin Frantzen"
432,TennisDoubles,06-Jan 01:00,Auckland,"Maria Camila Osorio Serrano, Peyton Stearns v Makoto Ninomiya, Aldila Sutjiadi"
433,TennisDoubles,06-Jan 01:00,Hong Kong,"Miguel Angel Reyes-Varela, Gonzalo Escobar v Emilio Nava, Jesper De Jong"
434,TennisDoubles,06-Jan 01:00,Hong Kong,"Hendrik Jebens, Ray Ho v Alexander Erler, Robert Galloway"
435,TennisDoubles,06-Jan 01:05,Brisbane,"James Duckworth, Cruz Hewitt v Rafael Matos, Orlando Luz"
436,TennisDoubles,06-Jan 02:30,Auckland,"Asia Muhammad, Erin Routliffe v Jesika Maleckova, Renata Zarazua"
437,TennisDoubles,06-Jan 02:30,Brisbane,"Irina Khromacheva, Alexandra Panova v Linda Noskova, Clara Tauson"
438,TennisDoubles,06-Jan 02:30,Auckland,"Magali Kempen, Anna Siskova v Caty Mcnally, Janice Tjen"
439,TennisDoubles,06-Jan 02:30,Brisbane,"Miyu Kato, Fanny Stollar v Lyudmyla Kichenok, Nadiya Kichenok"
440,TennisDoubles,06-Jan 04:00,Canberra 125k,"Eudice Chong, En Shuo Liang v Destanee Aiava, Gabriella Da Silva Fick"
441,TennisDoubles,06-Jan 04:00,Canberra 125k,"Anastasia Gasanova, Polina Iatcenko v Alina Korneeva, Dominika Salkova"
442,TennisDoubles,06-Jan 05:00,Brisbane,"Kamil Majchrzak, Camilo Ugo Carabelli v Alejandro Davidovich Fokina, Jiri Lehecka"
443,TennisDoubles,06-Jan 05:00,Brisbane,"Valentin Vacherot, Raphael Collignon v Diego Hidalgo, Jacob Fearnley"
444,TennisDoubles,06-Jan 05:30,Brisbane,"Ekaterina Alexandrova, Mirra Andreeva v Anna Danilina, Aleksandra Krunic"
445,TennisDoubles,06-Jan 05:30,Canberra 125k,"Quinn Gleason, Elena Pridankina v Roisin Gilheany, Charlotte Kempenaers-Pocz"
446,TennisDoubles,06-Jan 05:30,Canberra 125k,"Guiomar M Zuleta de Reales, Tamara Zidansek v Momoko Kobori, Ayano Shimizu"
447,TennisDoubles,06-Jan 12:00,Hong Kong,"Patrik Rikl, Petr Nouza v Karen Khachanov, Andrey Rublev"
448,Volleyball,05-Jan 16:30,Poland Plusliga,Cuprum Lubin v CHKS Chelm
449,Volleyball,05-Jan 17:00,Greece A1,AO Flisvos v Panionios
450,Volleyball,05-Jan 18:00,Sweden Elitserien Women,Sollentuna Women v Orebro Women
451,Volleyball,06-Jan 10:00,South Korea V League,Suwon Kepco Vixtorm v Ansan
452,Volleyball,06-Jan 10:00,South Korea V League Women,GS Caltex Kixx Women v AI Peppers Women
453,Volleyball,06-Jan 11:00,Turkish Erkekler 1. Ligi,Siran Akademi v Duzce
454,Volleyball,06-Jan 11:00,Turkish Erkekler 1. Ligi,Niksar Bld v Ziraat Bankasi 2
455,Volleyball,06-Jan 12:00,Turkish Erkekler 1. Ligi,Osmangazi v TVF Spor Lisesi Women
456,Volleyball,06-Jan 13:00,Finland Women's SM-Liiga,Puijo Women v Polkky Kuusamo Women
457,Volleyball,06-Jan 13:00,Sweden Elitserien Men,Lund v Sollentuna
458,Volleyball,06-Jan 13:00,Turkish Erkekler 1. Ligi,Fenerbahce 2 v Yucelen Anamur
459,Volleyball,06-Jan 14:00,Turkish Erkekler 1. Ligi,Sungurlu v Karapinar Anadolu Leoparlari
460,Volleyball,06-Jan 14:00,CEV Cup (W),THY Women v Allianz MTV Stuttgart Women
461,Volleyball,06-Jan 14:00,Poland Plusliga,Indykpol AZS Olsztyn v Barkom
462,Volleyball,06-Jan 15:00,Finland Mestaruusliiga Men,Hurrikaani-Loimaa v Savo Volley
463,Volleyball,06-Jan 15:00,Finland Women's SM-Liiga,LiigaPloki Women v Oriveden Ponnistus Women
464,Volleyball,06-Jan 15:00,Finland Mestaruusliiga Men,AC Oulu Volley v Kyky
465,Volleyball,06-Jan 15:00,Finland Women's SM-Liiga,LP Kangasala v LP Viesti Salo Women
466,Volleyball,06-Jan 15:00,Sweden Elitserien Women,Goteborg Women v Engelholm VS Women
467,Volleyball,06-Jan 15:00,Finland Mestaruusliiga Men,Akaa Volley v Vammalan Lentopallo
468,Volleyball,06-Jan 15:00,Finland Women's SM-Liiga,Nurmon Jymy Women v LP Vampula Huittinen Women
